National 4-H Congress|KNeFf6Ah8B0
4-H Camp 2021|RfBTEtjMosE
CYC Convention 2021|fMH7P2ZDvMQ
Farm Year Video 2020 (4-H Congress Version)|XjYcGSou7P0
My Heroes|FFgmUEr0hR0
Farm Year Video 2020|VqrvZMF8ERY
Harvest 2020|fy-D4nxuZxs
Swathing 2020|mRA0paiRsBk
Baling 2020|-uZHVxo-Zm8
Branding 2020|Vq0bXZ9jDnM
Burning 2020|J_MbbWT56-U
The Way of the Cross|fvslaYZzQjQ
Farm Year Video (4-H Cut)|2qSUKq6kYq0
Branding 2019|x1Xv5jcj3xI
Farm Year Video 2019|xVpvD62tFBs
Burning 2019|fKlPgqixUQI
Coming Soon:|ELJxdMZa4zU
Italy Trip|J1MCVYjrzKY
Plowing|ngHRxO2_L9I
Making Lefse|OX7IjkZdHts
Fertilizing and Spraying|VH-yzHp_WTs
Ditching 2019|cQpmnHrtnt8
Cows Around|Qqj_cSba65M
Harvest 2019|Oj6diOHGG7w
Haying 2019|vD3eK6HZpqw
Teton County 4-H Camp 2019|5w9rYiKrLpo
Mom and Mattie|76TTjs4RDcM
Loading Canola|z4bCuRxyebk
Mom and Hank|cOcbJGPrhRQ
Send Off For Father Brian|KwIeTyHtY4c
Farm Year Video 2018|yXQ_RSpeQXQ
Farm Year Video 2018 (4-H Version)|6FmK6I6tKAg
Trying Out the Mavic Pro|Jr0qgW1cUIc
CYC 2019|3wuaW4No4YQ
CYC 2018|hMy_P4S9qro
FFA Senior Video|6X8uVDnx37M
National FFA Convention|sY5oVFlZVsM
Glacier Vacation|tnPCpRnpH2M
Harvest 2018|UR_BH9qBh4o
Feeding the Cows|fyfQr_Z43LE
Haying 2018|vB6HxYbv0yQ
Skid Steer|RqEOtgik7yM
iGive Catholic Fundraiser|3786NdYe4AI
iGive Catholic Bloopers|Q5VdUxLcfPs
Frankenclyde|qOiRH6jBi30
